"Красный - непроверено","Желтый - проверено, но нет в генераторе","","Зеленый- добавлено в генератор","124578","1238"
"","12","12","125","1245","124"
"Категория","Подкатегория","","Японский","Исправления","Русский"
"Приветствие","","","緒方先生、こんにちは。","",""
"","","","緒方先生、お久しぶりです。","",""
"обязательное приветствие","","","いつも お世話に なって おります。","",""
"Сезонное приветствие","январь","","寒さひとしお身にしみる今日のごろ。","",""
"","","","新春とは申しながら、まだまだ寒さが続いておりますが。","","Хоть и начался новый год, но еще не спали холода…"
"","","","厳寒の候。","",""
"","ферваль","","立春とは名ばかりで、寒い日が続いておりますが。","Неуверен, что это стоит использовать применительно к России. Никто как бы и не предполагает, что в феврале начнётся весна",""
"","","","節分を過ぎましたのに、いっこうに春めいてまいりませんが。","",""
"","","","春寒の候。","",""
"","март","","ひと雨ごとに春めいてまいりました。","",""
"","","","ようやく寒気もゆるみはしめましたが。","",""
"","","","早春の候。","",""
"","апрель","","春の日うららかな今日のごろ。","",""
"","","","陽春の候。","",""
"","","","春暖の候。","",""
"","май","","風薫る季節となりましたが。","",""
"","","","若草ひかる今日のごろ。","",""
"","","","新緑の候。","",""
"","июнь","","うっとうしい梅雨に入りましたが。","Цую у нас тоже нет. Я бы не стал такое писать",""
"","","","緑の色あざやかな今日のごろ。","",""
"","","","入梅の候。","",""
"","июль","","厳しい暑さが続いておりますが。","",""
"","","","海山の恋しい季節となりましたが。","",""
"","","","炎暑の候。","",""
"","август","","厳しい残暑が続いておりますが。","спорно, но осторожно",""
"","","","立秋とは名ばかりで、暑い日が続いておりますが。","",""
"","","","残暑の候。","",""
"","сентябрь","","すっかり秋らしくなってまいりましたが。","",""
"","","","ひと雨ごとに秋らしくなっていく今日のごろ。","",""
"","","","初秋の候。","",""
"","октябрь","","日ましに秋が深まってまいりましたが。","",""
"","","","菊かおる季節となってまいりましたが。","",""
"","","","紅葉の候。","",""
"","ноябрь","","寒気の身にしみる季節となりましたが。","",""
"","","","小春日和のいいお天気が続きますが。","",""
"","","","晩秋の候。","",""
"","декабрь","","寒気日ましに厳しい毎日ですが。","",""
"","","","寒冷の候。","",""
"Здоровье сенсея","","","先生は お元気 ですか。","",""
"","","","先生には その後 お変わりなく お過ごしで いらっしゃいますか。","","Учитель, как вы поживаете, все по-прежнему?"
"","","","先生には その後 お変わりなく お過ごしの ことと 存じます。","","Я надеюсь, что у вас все по прежнему хорошо"
"","","","先生には お元気に お過ごしの ことと 存じます。","","Я надеюсь, что вы по прежнему в добром здравии"
"","","","いかが お過ごしで いらっしゃいますか。","",""
"","","","お元気で いらっしゃいますか。","",""
"","","","先生は お建やかに　お過ごしの ことと 存じますか。","",""
"","","","お元気でいらっしゃいますか？最近はいかがですか？様子をお知らせください。","",""
"Саппоро погода","","","そちらの 天気は いかがでしょうか。","",""
"","","","札幌の 天気は どうですか。","",""
"Благодарим за письмо","","","お手紙と お手本 誠に ありがとう ございます。","",""
"","","","先生から　お手紙　いただきまして　誠に　ありがとう　ございます。","",""
"","","","先生からお手紙を拝見いたしました誠にありがとうございます","ОК",""
"Благодарим за проверку","","","作品が よく できたと いうことで とても 嬉しい です。先生の ご指導の おかげ です。ありがとう ございます。","","Спасибо, что похвалили мой сакухин. Я был очень рад. Это всё благодаря вашему руководству"
"","",""," 作品を 添削してくださって誠にありがとう ございます。","",""
"Собственное здоровье","","","私は元気です。","",""
"","","","私は大丈夫です。","",""
"","","","私もおかげさまで元気にしております。","",""
"","","","おかげさまで元気に暮らしております。","",""
"","","","家族一同元気にしております。","",""
"","","","別段変わりなく暮らしております。","",""
"Извинение за долгое молчание","","","ご無沙汰しております。","",""
"","","","ご無沙汰お許しください。","",""
"","","","長い間ご無沙汰いたしておりまして申し訳ございません。","",""
"погода в cityName","Весная","Светит солнце","cityは天気が良く、太陽が照ます。","cityは天気が良く、太陽が照ます。",""
"","","Идет снег","cityはよく雪が降っていますが。春の訪れを感じることができます 。","",""
"","","Идет дождь","cityはよく雨が降って春が感じられません。","",""
"","","Все зеленеет","自然は緑になります。","",""
"","","Погода часто меняется","cityは天気が急に変わりました。暖かい日々があっという間に寒い日に変わっています。","cityは天気が急に変わりました。暖かい日々があっという間に寒い日に変わっています。",""
"","","Снег тает","cityは雪が溶けています。そろそろ春になります。","",""
"","Лето","Хорошая погода","cityはいい天気です。太陽が照ます。","cityは天気が良く、太陽が照ます。",""
"","","Идет дождь","cityは雨が降っていますから、天気が暑くありません。","cityは雨が降っていますから、天気が暑くありません。",""
"","","Жарко","cityは海に行きたくなるほどとても暑いです。","cityは海に行きたくなるほどとても暑いです。",""
"","Осень","Хорошая погода","cityはいい天気です。太陽が照ます。","cityは天気が良く、太陽が照ます。",""
"","","Стало холодать","cityは寒くなりました。そろそろ冬になります。","",""
"","","Идут дожди","cityはよく雨が降っています。","",""
"","","Момидзи","秋になりました。葉っぱが赤くなりました。","",""
"","","Погода часто меняется","cityは天気が急に変わりました。暖かい日々があっという間に寒い日に変わっています。","cityは天気が急に変わりました。暖かい日々があっという間に寒い日に変わっています。",""
"","Зима","Хорошая погода","cityはいい天気です。","",""
"","","Идет снег","cityはよく雪が降っています。すべてが白くなりました。","",""
"","","Холодно","cityは寒いです。家でこもって熱いお茶を飲みたくなります。","cityは寒いです。家でこもって熱いお茶を飲みたくなります。",""
"Мои успехи","","","最近とても忙しくてあまり書く時間がありませんが、とりあえずできたものをお送りします。","","В последние время был занят и мало писал. Извините за мои каракули"
"","","","今回ちょっと書く時間が少なかったのですが、今度より頑張りたいと思います。","","В последние время не получается часто писать. Но я буду и дальше стараться изо всех сил."
"","","","今回たっぷり書けましたから、ちょっと良いのができたのではないかと思います。","","Сейчас я часто пишу, поэтому думаю, что стало получаться хорошо"
"","","","一所懸命頑張りましたが、なかなか良い作品にならなかったと思います。残念です。","","Я старался, но сакухин не получился. Извините за мои кандзи"
"","","","最近ちゃんと習字をしています。作品を見ると私はまだまだ勉強することが多いです。","",""
"Прощание","","","ご自愛のほどお祈り申し上げます。","",""
"","","","お大事にしてください。","",""
"","","","ご健勝のことだとお喜び申し上げます。","",""
"","","","どうぞくれぐれもお大切になさってください。","",""
"","","","くれぐれも　お元気で　お過ごし　ください。","",""
"","","","お疲れの出ませんよう、どうぞお休をお大切になさってください。","",""
"","","","ご自愛ください","",""
"","","","お体を大事になさってください。","",""
"","","","風邪にご用心ください。","",""
"обязательное прощание","","","これからもよろしくお願いたします。","",""
"Дата","","","令和年月日","",""